subj,congruent,incongruent,neutral,stroop_effect
118340,0.6712402461934845,0.7432160033869623,0.6650107903427669,0.07197575719347771
120554,0.6126503647193248,0.6798642334841302,0.612754693605701,0.0672138687648054
142272,0.6235387361787031,0.6508031610804197,0.6242859580826875,0.027264424901716544
142610,0.8188013455191648,0.9964689733137296,0.8607984278102888,0.1776676277945648
146393,0.695119558499658,0.7796530901386349,0.7148457694492083,0.08453353163897692
149318,0.5042154341992643,0.5338253780060567,0.5189741964203419,0.029609943806792383
174411,0.7155685739849789,0.897369107087079,0.7295638464502233,0.1818005331021001
180705,0.6641126226286753,0.7382854296141766,0.6911929059044177,0.07417280698550133
190732,0.5690298980215316,0.6400184656315,0.5755260415880964,0.07098856760996841
194849,0.6132029008438615,0.6588689367521099,0.6090659334870882,0.04566603590824836
197623,0.8383502780951632,0.9306551443478913,0.8774940136937297,0.09230486625272816
204561,0.6353583538533886,0.6973543227040725,0.6698692923583834,0.061995968850683925
217278,0.593309986649356,0.7627273573668159,0.6509285480888138,0.16941737071745988
245080,0.6428764433069841,0.7726642507057334,0.6562147066817761,0.1297878073987493
247620,0.5413763584668061,0.623020589200224,0.5538129803766736,0.08164423073341787
268879,0.6961227284602983,0.7939159278574052,0.6782507803214433,0.09779319939710684
274322,0.6763848367712268,0.7385834146321871,0.6892320176449691,0.06219857786096028
282407,0.6599258038732525,0.80192409524257,0.6365325011996666,0.14199829136931752
283382,0.7505089349283175,0.9560953997440055,0.780151685336296,0.20558646481568799
288246,0.5280732468489896,0.5977987251823438,0.5699215850553124,0.06972547833335418
300190,0.7600251983505752,0.9063730930328603,0.7505726494798617,0.14634789468228504
301375,0.678817304636699,0.8065798052486178,0.706517548724335,0.12776250061191885
305899,0.6440335359552957,0.6956828540748564,0.6327424582198333,0.05164931811956075
311153,0.5564636836422486,0.6580261798758253,0.5885681711225781,0.10156249623357672
316750,0.7720264227517296,0.8519693049828783,0.7882441863773121,0.07994288223114865
317560,0.7503981876375402,0.836778756203627,0.7175253570860876,0.08638056856608678
