condition,N,mean_RT,SD_RT,median_RT,mean_accuracy
congruent,16267,0.6737054963495859,0.220660924100578,0.616447736982,0.958812319419684
incongruent,16016,0.7779008336067955,0.26666983819967677,0.7216264182225001,0.9304445554445554
neutral,16218,0.6901012086307232,0.22185170485828956,0.6368155531669999,0.9493772351707979
