# OrderedDict([('code', u'190732'), ('alder (opsjonalt)', u'25'), (u'kj\xf8nn', 'kvinne'), ('date', u'2018_mar_15_1411'), ('expName', 'StroopMW'), ('frameRate', 59.939286992983121)])
subj,trial,time,color,condition,correct,response,RT
190732,0,1.81272970706,red,congruent,correct,d,0.577727279321
190732,1,3.83264995439,red,incongruent,correct,d,0.49381076277
190732,2,5.85295377571,blue,neutral,correct,j,0.617940254618
190732,3,7.87335530386,red,neutral,correct,d,0.533110669842
190732,4,9.8940815259,blue,incongruent,correct,j,0.464422339281
190732,5,11.9137756395,blue,congruent,correct,j,0.460859239867
190732,6,13.9507314359,yellow,congruent,correct,k,0.520006434144
190732,7,15.9743589962,yellow,incongruent,correct,k,0.592217757385
190732,8,17.9981550902,red,incongruent,correct,d,0.744522230651
190732,9,20.0179302706,red,incongruent,correct,d,0.948647592359
190732,10,22.0381530251,red,neutral,correct,d,0.736638697197
190732,11,24.0584551398,blue,neutral,correct,j,0.572273190013
190732,12,26.0792415219,yellow,neutral,correct,k,0.567540168602
190732,13,28.1002762245,green,incongruent,correct,f,0.674512937835
190732,14,30.1208296462,red,neutral,correct,d,0.669998370131
190732,15,32.1407652536,green,neutral,correct,f,0.634007268706
190732,16,34.1604858206,yellow,incongruent,correct,k,0.470018082164
190732,17,36.1807021751,green,neutral,correct,f,0.625895041527
190732,18,38.2024361855,blue,incongruent,correct,j,0.396308303033
190732,19,40.2230459273,red,neutral,correct,d,0.455536137448
190732,20,42.2455790858,yellow,incongruent,correct,k,0.336958015075
190732,21,44.2695974734,green,congruent,correct,f,0.441317019848
190732,22,46.2899576149,yellow,neutral,correct,k,0.500594347681
190732,23,48.3107597837,blue,neutral,correct,j,0.5758981562
190732,24,50.3312999788,green,neutral,correct,f,0.875301760515
190732,25,53.3198755326,yellow,probe,-1,3,-1
190732,26,55.6313448642,green,neutral,correct,f,0.935404689757
190732,27,57.6551895982,green,congruent,correct,f,0.399608575332
190732,28,59.6763783277,yellow,congruent,correct,k,0.474307796152
190732,29,61.69724919,yellow,neutral,correct,k,0.501367895668
190732,30,63.7187856534,red,congruent,correct,d,0.527841754183
190732,31,65.7390135279,blue,neutral,correct,j,0.779824690901
190732,32,67.7600396971,yellow,congruent,correct,k,0.486813844162
190732,33,69.7801532248,yellow,neutral,correct,k,0.386450579542
190732,34,71.8000687788,yellow,incongruent,correct,k,0.526711938922
190732,35,73.8195973454,green,incongruent,correct,f,0.491026331352
190732,36,75.8397944999,green,neutral,correct,f,0.455049309951
190732,37,77.8602416815,red,neutral,correct,d,0.514662425024
190732,38,79.8812588907,green,incongruent,correct,f,0.957389153944
190732,39,81.9009167376,blue,congruent,correct,j,0.585855719861
190732,40,83.9218840267,red,neutral,correct,d,1.02901850286
190732,41,85.9436257171,yellow,incongruent,correct,k,0.543023860094
190732,42,87.9637716715,blue,neutral,incorrect,f,0.570888654317
190732,43,89.9850359211,red,congruent,correct,d,0.869599350783
190732,44,92.0053013424,green,neutral,correct,f,0.641339974554
190732,45,94.0263880984,red,congruent,correct,d,0.636411539476
190732,46,96.0467298931,green,neutral,correct,f,0.775993644363
190732,47,98.0671723813,blue,neutral,correct,j,0.435498556584
190732,48,100.087446336,red,incongruent,correct,d,0.575537195583
190732,49,102.107557304,blue,neutral,correct,j,0.619416097137
190732,50,104.129293874,red,congruent,correct,d,0.869365963718
190732,51,106.149421908,yellow,incongruent,correct,k,0.849295529464
190732,52,108.856809569,yellow,probe,-1,2,-1
190732,53,111.167935007,blue,congruent,correct,j,0.790757616227
190732,54,113.190925126,blue,incongruent,correct,j,0.432114657476
190732,55,115.21474682,red,incongruent,correct,d,0.728092122611
190732,56,117.235269522,red,neutral,correct,d,0.515560133223
190732,57,119.256300811,red,incongruent,correct,d,0.462723349714
190732,58,121.276704472,blue,neutral,correct,j,0.601946200655
190732,59,123.298132562,red,congruent,correct,d,0.516730481887
190732,60,125.317993929,blue,congruent,correct,j,0.608967439304
190732,61,127.342281971,green,congruent,correct,f,0.632434999356
190732,62,129.366316572,green,congruent,correct,f,0.432399671296
190732,63,131.387576981,red,congruent,correct,d,0.507133878842
190732,64,133.408326244,blue,neutral,correct,j,0.454681095989
190732,65,135.428295558,red,neutral,correct,d,0.642548296616
190732,66,137.452296025,yellow,incongruent,correct,k,0.490436250345
190732,67,139.476303746,blue,incongruent,correct,j,0.498427303983
190732,68,141.496773968,green,neutral,correct,f,0.429963400471
190732,69,143.518323658,yellow,congruent,correct,k,0.504528647729
190732,70,145.539310147,yellow,neutral,correct,k,0.483428238384
190732,71,147.560492477,yellow,congruent,correct,k,0.350423211389
190732,72,149.580864138,yellow,incongruent,correct,k,0.361948777726
190732,73,151.600814679,green,incongruent,incorrect,d,0.485942589342
190732,74,153.621968848,green,incongruent,correct,f,0.752789338094
190732,75,155.643185738,red,congruent,correct,d,0.69953911388
190732,76,157.663807853,yellow,neutral,correct,k,0.567027314393
190732,77,159.68534261,yellow,congruent,correct,k,0.577418798795
190732,78,161.705885791,blue,neutral,correct,j,0.636894526967
190732,79,163.726178946,blue,neutral,correct,j,0.664590787568
190732,80,165.746932475,green,neutral,correct,f,0.979840818928
190732,81,167.768188618,yellow,congruent,correct,k,0.54279687304
190732,82,169.788733506,red,neutral,correct,d,0.730421726586
190732,83,171.80878602,red,incongruent,correct,d,0.534125284907
190732,84,173.830195764,yellow,congruent,correct,k,0.560920423971
190732,85,175.852233561,blue,neutral,correct,j,0.426814595097
190732,86,178.076527917,blue,probe,-1,2,-1
190732,87,180.388837357,blue,incongruent,correct,j,0.625936001597
190732,88,182.40990662,green,incongruent,correct,f,0.588905538399
190732,89,184.430077747,yellow,incongruent,correct,k,0.473035473981
190732,90,186.45137357,blue,incongruent,correct,j,1.28357083063
190732,91,188.4725495,yellow,incongruent,correct,k,0.55838857965
190732,92,190.493957963,yellow,congruent,correct,k,0.360915389296
190732,93,192.518132511,blue,incongruent,correct,j,0.480689460377
190732,94,194.53918044,yellow,neutral,correct,k,0.50769921314
190732,95,196.559740689,red,neutral,correct,d,0.711092413598
190732,96,198.580174643,yellow,neutral,correct,k,0.46693967691
190732,97,200.601883907,red,congruent,correct,d,0.589026711939
190732,98,202.623481384,green,incongruent,correct,f,0.759415909403
190732,99,204.644819447,yellow,congruent,correct,k,0.578068613237
190732,100,206.666648604,red,congruent,correct,d,0.940560111889
190732,101,208.686693012,blue,congruent,correct,j,0.456305418761
190732,102,210.711042067,green,congruent,correct,f,0.368211401747
190732,103,212.732361357,yellow,congruent,correct,k,0.426827821786
190732,104,214.752907952,blue,neutral,correct,j,0.645955662431
190732,105,216.774474708,red,congruent,correct,d,0.432383884602
190732,106,218.79881267,green,congruent,correct,f,0.392327922906
190732,107,221.389867759,green,probe,-1,3,-1
190732,108,223.702523226,green,incongruent,correct,f,1.13667052658
190732,109,225.723984596,yellow,congruent,correct,k,0.474897023824
190732,110,227.745719886,blue,incongruent,correct,j,0.357160289554
190732,111,229.767236296,green,incongruent,correct,f,0.463647084624
190732,112,231.788051692,blue,neutral,correct,j,0.618823456125
190732,113,233.807999672,blue,neutral,correct,j,0.470950350422
190732,114,235.829161095,green,incongruent,correct,f,0.593856160181
190732,115,237.849379583,blue,congruent,correct,j,0.541692231155
190732,116,239.869826765,yellow,neutral,correct,k,0.489086701375
190732,117,241.890378906,yellow,neutral,correct,k,0.372522449105
190732,118,243.910313234,blue,congruent,correct,j,0.544602529455
190732,119,245.931525003,red,congruent,correct,d,0.507616439665
190732,120,247.951949145,red,neutral,correct,d,0.438959682491
190732,121,249.973845289,yellow,congruent,correct,k,0.545089356953
190732,122,251.994932045,green,incongruent,correct,f,0.572322683431
190732,123,254.014691438,red,incongruent,correct,d,0.616251505069
190732,124,256.035527741,red,neutral,correct,d,0.611399443455
190732,125,258.059786769,red,incongruent,correct,d,0.555476148013
190732,126,260.080554804,blue,neutral,correct,j,0.678366597746
190732,127,262.104501938,green,congruent,correct,f,0.622625062613
190732,128,264.125104,blue,neutral,correct,j,0.441849500756
190732,129,266.146407503,red,neutral,correct,d,0.660544700663
190732,130,268.167611166,green,incongruent,correct,f,0.495438498882
190732,131,270.188934296,blue,incongruent,correct,j,0.490240836678
190732,132,272.212879723,green,congruent,correct,f,0.658032909709
190732,133,274.236777364,yellow,incongruent,correct,k,0.426249260799
190732,134,276.257407586,red,neutral,correct,d,0.46989434862
190732,135,278.278003674,green,neutral,correct,f,0.433066552434
190732,136,280.299336191,green,incongruent,incorrect,d,0.443852704175
190732,137,282.320064546,green,neutral,correct,f,0.646894757367
190732,138,284.344136267,yellow,incongruent,correct,k,0.718902133593
190732,139,286.83212174,green,probe,-1,2,-1
190732,140,289.143841099,green,neutral,correct,f,0.655358131811
190732,141,291.168201247,green,congruent,correct,f,0.45486114963
190732,142,293.188811416,green,neutral,correct,f,0.45020322168
190732,143,295.20926969,blue,neutral,correct,j,0.349727316868
190732,144,297.23065938,blue,incongruent,correct,j,0.504325127382
190732,145,299.317085981,yellow,incongruent,correct,k,0.482196022948
190732,146,301.338454338,red,congruent,correct,d,0.332609847654
190732,147,303.359841467,red,congruent,correct,d,0.599165182575
190732,148,305.380293342,red,neutral,correct,d,0.435002342404
190732,149,307.401532845,yellow,congruent,correct,k,0.477625988482
190732,150,309.422015867,green,neutral,correct,f,0.569093664586
190732,151,311.442357235,yellow,neutral,correct,k,0.532632375693
190732,152,313.463014337,blue,neutral,correct,j,0.464028525275
190732,153,315.483761466,red,neutral,correct,d,0.571271801637
190732,154,317.504405768,green,neutral,correct,f,0.775000362667
190732,155,319.528751836,red,incongruent,correct,d,0.654514183704
190732,156,321.549940565,yellow,congruent,correct,k,0.441177499609
190732,157,323.570138573,yellow,neutral,correct,k,0.469061493865
190732,158,325.590365594,blue,congruent,correct,j,0.46467961972
190732,159,327.611006909,red,neutral,correct,d,0.508336654228
190732,160,329.632505826,red,incongruent,correct,d,0.454538162412
190732,161,331.653882716,green,incongruent,correct,f,0.48118183455
190732,162,333.674482218,blue,neutral,correct,j,0.47659772006
190732,163,335.695142733,yellow,neutral,correct,k,0.488104086364
190732,164,337.717027784,yellow,congruent,correct,k,0.434045327437
190732,165,339.738313793,blue,incongruent,correct,j,0.444757239052
190732,166,341.759895057,yellow,incongruent,correct,k,0.519555020041
190732,167,343.947720871,green,probe,-1,3,-1
190732,168,346.259947537,red,neutral,correct,d,0.675182805645
190732,169,348.281137546,yellow,congruent,correct,k,0.733940025924
190732,170,350.30260105,red,congruent,correct,d,0.648477693402
190732,171,352.324225833,blue,incongruent,incorrect,k,0.739085634706
190732,172,354.344857335,green,neutral,correct,f,0.68636490473
190732,173,356.366038811,yellow,congruent,correct,k,0.569011317779
190732,174,358.386425833,yellow,neutral,correct,k,0.564763417196
190732,175,360.407787789,green,incongruent,correct,f,0.687558293433
190732,176,362.42792905,blue,congruent,correct,j,0.443140169626
190732,177,364.448736339,green,neutral,correct,f,0.582497420796
190732,178,366.470351736,blue,incongruent,incorrect,f,1.21703802374
190732,179,368.491703453,yellow,incongruent,correct,k,0.875589761006
190732,180,370.513265943,green,incongruent,correct,f,0.741867079453
190732,181,372.533396964,blue,congruent,correct,j,0.817700382209
190732,182,374.553476785,green,incongruent,correct,f,0.95792206152
190732,183,376.573755006,red,incongruent,correct,d,0.601492653214
190732,184,378.59784422,red,incongruent,correct,d,0.913345985444
190732,185,380.61926335,green,incongruent,correct,f,0.651864152515
190732,186,382.640423493,blue,neutral,correct,j,0.806872417062
190732,187,384.66626503,blue,incongruent,correct,j,0.492856307808
190732,188,386.686422078,blue,congruent,correct,j,0.53686150291
190732,189,388.707840781,red,congruent,correct,d,1.04353116763
190732,190,390.729520605,yellow,incongruent,correct,k,0.63796674213
190732,191,392.751270402,red,incongruent,correct,d,0.888200342529
190732,192,394.771834491,blue,neutral,correct,j,0.579262855275
190732,193,396.791738098,blue,congruent,correct,j,0.511422312828
190732,194,398.816035526,green,congruent,correct,f,0.455622324262
190732,195,400.836588094,blue,neutral,correct,j,0.866564038936
190732,196,402.857289996,blue,neutral,correct,j,0.445893880992
190732,197,404.878156165,blue,neutral,correct,j,0.633033613711
190732,198,406.898293586,red,incongruent,correct,d,0.548980990261
190732,199,408.919445623,red,congruent,correct,d,0.639806531936
190732,200,410.941076379,red,incongruent,correct,d,0.474392702964
190732,201,412.962216042,yellow,incongruent,correct,k,0.533011256339
190732,202,414.982807864,blue,neutral,correct,j,0.448497832103
190732,203,417.582939448,blue,probe,-1,2,-1
190732,204,419.897822119,green,congruent,correct,f,0.637382634466
190732,205,421.918733515,blue,neutral,correct,j,0.520474061609
190732,206,423.939350936,yellow,neutral,correct,k,0.531865654384
190732,207,425.963547671,yellow,incongruent,correct,k,0.475799425365
190732,208,427.983824186,green,incongruent,correct,f,0.407656802401
190732,209,430.008333241,green,congruent,correct,f,0.430887988715
190732,210,432.028929756,yellow,incongruent,correct,k,0.618290975216
190732,211,434.05493428,green,congruent,incorrect,k,0.448556712204
190732,212,436.075148502,blue,congruent,correct,j,0.652078339547
190732,213,438.096641445,red,incongruent,correct,d,0.918749728
190732,214,440.117371934,green,neutral,correct,f,0.802141955655
190732,215,442.141933469,green,congruent,correct,f,0.60155707999
190732,216,444.163390999,red,neutral,correct,d,0.772237264618
190732,217,446.18547445,yellow,congruent,correct,k,0.589772099878
190732,218,448.207123127,yellow,congruent,correct,k,0.488303340037
190732,219,450.227391961,yellow,incongruent,correct,k,0.532034614672
190732,220,452.248427944,green,neutral,correct,f,0.654884104335
190732,221,454.26980398,yellow,congruent,none,none,-1
190732,222,456.294334369,red,incongruent,correct,d,0.849076222423
190732,223,458.314970138,red,neutral,correct,d,0.476299479551
190732,224,460.336342761,yellow,congruent,correct,k,0.550910806888
190732,225,462.356936716,yellow,neutral,correct,k,0.466723356541
190732,226,464.381758092,yellow,incongruent,correct,k,0.393516191601
190732,227,466.403209221,blue,incongruent,correct,j,0.404242609907
190732,228,468.424801578,blue,incongruent,correct,j,0.494499403946
190732,229,470.444727372,red,incongruent,correct,d,0.458718222879
190732,230,472.468743627,blue,incongruent,correct,j,0.850524331561
190732,231,474.490583451,red,congruent,correct,d,0.540720709496
190732,232,476.512017514,blue,incongruent,correct,j,0.663300545366
190732,233,478.533377764,red,incongruent,correct,d,0.913985559869
190732,234,480.554822494,yellow,congruent,correct,k,0.604492125
190732,235,484.326396717,blue,probe,-1,1,-1
190732,236,486.638973251,yellow,congruent,correct,k,0.568746783994
190732,237,488.659463525,red,neutral,correct,d,0.484128399579
190732,238,490.680214494,blue,neutral,correct,j,0.959147876946
190732,239,492.704645469,green,congruent,correct,f,0.742662387477
190732,240,494.728391643,red,incongruent,correct,d,0.638972823847
190732,241,496.752534191,green,congruent,correct,f,0.662840597915
190732,242,498.773732734,yellow,congruent,correct,k,0.497627302617
190732,243,500.79480541,blue,neutral,correct,j,0.476771800357
190732,244,502.819411318,blue,incongruent,correct,j,0.612196031481
190732,245,504.840139674,red,neutral,correct,d,0.495519565687
190732,246,506.862445419,red,congruent,correct,d,0.504934408421
190732,247,508.882674146,green,incongruent,correct,f,0.468687733227
190732,248,510.904957278,yellow,incongruent,correct,k,0.654402823514
190732,249,512.926787715,yellow,congruent,correct,k,0.472610513255
190732,250,514.950763009,green,congruent,correct,f,0.51292204872
190732,251,516.971194831,yellow,neutral,correct,k,0.524206974646
190732,252,518.993257375,yellow,congruent,correct,k,0.470111522323
190732,253,521.013555223,yellow,incongruent,correct,k,0.833805796362
190732,254,523.033932858,yellow,neutral,correct,k,0.461480894261
190732,255,525.054216626,red,neutral,correct,d,0.585519079286
190732,256,527.077779759,green,congruent,correct,f,0.561604371805
190732,257,529.099535957,yellow,congruent,correct,k,0.683819407051
190732,258,531.394854221,red,probe,-1,2,-1
190732,259,533.706955873,red,incongruent,correct,d,0.812474559957
190732,260,535.731031861,green,congruent,correct,f,0.644688033601
190732,261,537.751751256,red,neutral,correct,d,0.671666212977
190732,262,539.77172185,blue,congruent,correct,j,0.827753946034
190732,263,541.792102899,green,neutral,correct,f,0.711635987859
190732,264,543.812331626,green,incongruent,correct,f,0.819311904959
190732,265,545.836200254,green,congruent,correct,f,0.539353667164
190732,266,547.856292021,red,incongruent,correct,d,0.663494679031
190732,267,549.877111684,red,neutral,correct,d,0.578350213718
190732,268,551.897110011,blue,congruent,correct,j,0.814286616383
190732,269,553.918433567,red,neutral,correct,d,0.553014277144
190732,270,555.940220911,yellow,congruent,correct,k,0.371295780345
190732,271,557.961634921,red,incongruent,correct,d,0.430084147344
190732,272,559.983053624,red,congruent,correct,d,0.792406685707
190732,273,562.004124167,red,incongruent,correct,d,0.435323196285
190732,274,564.025877804,green,incongruent,correct,f,0.429963400471
190732,275,566.046846373,yellow,neutral,correct,k,0.712606229515
190732,276,568.068088863,red,congruent,correct,d,0.64338115137
190732,277,570.089186712,blue,neutral,correct,j,0.734260453138
190732,278,572.097410726,yellow,probe,-1,3,-1
190732,279,574.409486779,blue,neutral,correct,j,0.718102985562
190732,280,576.43369546,green,congruent,correct,f,0.517771976998
190732,281,578.454412722,yellow,neutral,correct,k,0.561118824309
190732,282,580.475508865,green,incongruent,correct,f,1.27632303159
190732,283,582.496852475,red,congruent,correct,d,0.566636487059
190732,284,584.51766275,yellow,neutral,correct,k,0.561820692174
190732,285,586.538875373,red,congruent,correct,d,0.604608178532
190732,286,588.56055477,green,incongruent,correct,f,0.502945285027
190732,287,590.58195086,red,congruent,correct,d,0.465522287825
190732,288,592.601995267,blue,congruent,correct,j,0.445515427013
190732,289,594.62332309,yellow,congruent,correct,k,0.440194884599
190732,290,596.643487392,red,incongruent,correct,d,0.740279023409
190732,291,598.665073775,red,congruent,correct,d,0.462766443121
190732,292,600.686333331,red,congruent,correct,d,0.441190726299
190732,293,602.706867126,green,neutral,correct,f,0.404660743954
190732,294,604.731141514,yellow,incongruent,correct,k,0.956391605575
190732,295,606.75179947,yellow,neutral,correct,k,0.472084432357
190732,296,608.772136998,green,neutral,correct,f,0.419398689107
190732,297,610.793519008,blue,incongruent,correct,j,0.382367372573
190732,298,612.815060591,red,incongruent,correct,d,0.472544379809
190732,299,614.839749273,green,congruent,correct,f,0.559803835399
190732,300,616.860952509,red,congruent,correct,d,0.666566257607
190732,301,618.881362571,blue,neutral,correct,j,0.582380940597
190732,302,620.90207514,green,neutral,correct,f,0.449463380417
190732,303,622.926093527,red,incongruent,correct,d,0.793458420836
190732,304,624.94740855,blue,incongruent,correct,j,0.580126003415
190732,305,626.968696693,blue,neutral,correct,j,0.590873755091
190732,306,628.989934489,yellow,incongruent,correct,k,0.537635477564
190732,307,631.010621031,green,neutral,correct,f,0.612909419365
190732,308,633.0312248,green,neutral,correct,f,0.560488636567
190732,309,635.051372461,blue,congruent,correct,j,0.956540512495
190732,310,637.075837996,green,congruent,correct,f,0.531738934168
190732,311,639.005332916,green,probe,-1,3,-1
190732,312,641.317518622,red,neutral,correct,d,0.626381869025
190732,313,643.338133057,green,neutral,correct,f,0.813532268428
190732,314,645.360956776,blue,congruent,correct,j,0.40684784102
190732,315,647.384580923,red,neutral,correct,d,0.431365002863
190732,316,649.405916853,yellow,congruent,correct,k,0.521704570376
190732,317,651.426730115,yellow,neutral,correct,k,0.436846825552
190732,318,653.447336443,yellow,neutral,correct,k,0.384260495804
190732,319,655.467900105,yellow,neutral,correct,k,0.412013929837
190732,320,657.488179606,blue,congruent,correct,j,0.503514032664
190732,321,659.517955444,red,neutral,correct,d,0.473660968381
190732,322,661.538053185,green,incongruent,correct,f,0.437517973364
190732,323,663.559437755,yellow,congruent,correct,k,0.432186764265
190732,324,665.57978723,blue,congruent,correct,j,0.540163908547
190732,325,667.600985346,red,congruent,correct,d,0.42265416133
190732,326,669.622201382,red,congruent,correct,d,0.545460130918
190732,327,671.642335816,yellow,incongruent,correct,k,0.573274578389
190732,328,673.667241672,green,congruent,correct,f,0.484514960239
190732,329,675.687817707,blue,neutral,correct,j,0.399987455979
190732,330,677.709416037,yellow,congruent,correct,k,0.522251557976
190732,331,679.730908127,red,congruent,correct,d,0.484827707439
190732,332,681.751315202,yellow,neutral,correct,k,0.560431036469
190732,333,683.772795346,blue,incongruent,correct,j,0.378878513286
190732,334,685.751396696,blue,probe,-1,3,-1
190732,335,688.063783789,green,incongruent,correct,f,0.631882038412
190732,336,690.084634171,green,neutral,correct,f,0.643004830728
190732,337,692.105956021,yellow,congruent,correct,k,0.573881726091
190732,338,694.127269337,yellow,congruent,correct,k,0.360771602383
190732,339,696.151304365,green,congruent,incorrect,k,0.400486230163
190732,340,698.17212616,red,neutral,correct,d,0.811519251659
190732,341,700.192638622,blue,neutral,correct,j,0.407106401462
190732,342,702.213459138,red,neutral,correct,d,0.57828920028
190732,343,704.233644772,blue,congruent,correct,j,0.526049751125
190732,344,706.258467001,red,incongruent,correct,d,0.917220552057
190732,345,708.279872478,green,incongruent,correct,f,0.671844133281
190732,346,710.304236893,blue,incongruent,correct,j,0.535438993816
190732,347,712.325382955,yellow,congruent,correct,k,0.354505138355
190732,348,714.346663418,green,incongruent,correct,f,1.00503339526
190732,349,716.37088746,green,congruent,correct,f,0.453157893389
190732,350,718.393075018,yellow,neutral,correct,k,0.558784526992
190732,351,720.414305987,red,incongruent,correct,d,0.441779100637
