# OrderedDict([('code', u'608204'), ('alder (opsjonalt)', u'20'), (u'kj\xf8nn', 'kvinne'), ('date', u'2018_mar_15_1410'), ('expName', 'StroopMW'), ('frameRate', 59.901193296877928)])
subj,trial,time,color,condition,correct,response,RT
608204,0,1.81156762587,red,incongruent,correct,d,1.02740354339
608204,1,3.83216540345,green,neutral,incorrect,j,0.782585841142
608204,2,5.85232200731,blue,neutral,correct,j,0.50658432562
608204,3,7.87181045061,blue,congruent,correct,j,0.535015283211
608204,4,9.89455180335,green,congruent,none,none,-1
608204,5,11.9163399819,yellow,congruent,correct,k,0.730476996676
608204,6,13.9371997331,red,incongruent,correct,d,0.677630871578
608204,7,15.9599517525,blue,incongruent,correct,j,0.638906998534
608204,8,17.9798852095,blue,congruent,correct,j,0.426889750946
608204,9,20.0001625601,green,neutral,correct,f,0.614656097841
608204,10,22.0222506857,yellow,incongruent,correct,k,0.928566979041
608204,11,24.0461790261,yellow,incongruent,correct,k,0.472730430061
608204,12,26.0672047507,red,incongruent,correct,d,0.563613494287
608204,13,28.0907614641,green,congruent,correct,f,0.796021585938
608204,14,30.110561801,green,incongruent,correct,f,0.424281962056
608204,15,32.1420698812,green,incongruent,correct,f,0.488785057096
608204,16,34.1624820587,blue,neutral,correct,j,0.324306623406
608204,17,36.1831843696,yellow,congruent,correct,k,0.879664963981
608204,18,38.2055080154,blue,incongruent,correct,j,0.393468922426
608204,19,40.2281683014,red,congruent,correct,d,0.370781329733
608204,20,42.2485105054,yellow,neutral,correct,k,0.670455185456
608204,21,44.2705342042,red,congruent,correct,d,1.09642120228
608204,22,46.2905231279,red,neutral,correct,d,0.484467613413
608204,23,48.3109058653,yellow,neutral,correct,k,1.26391275854
608204,24,50.330520602,yellow,incongruent,correct,k,0.396293884838
608204,25,52.3509878195,red,neutral,incorrect,f,0.599795285158
608204,26,54.3736335988,green,incongruent,incorrect,j,0.993194234194
608204,27,56.3977761261,blue,incongruent,none,none,-1
608204,28,58.419870225,yellow,congruent,correct,k,0.691208696499
608204,29,60.4410013363,yellow,congruent,correct,k,0.717915065954
608204,30,62.4633219954,blue,incongruent,correct,j,1.36777716717
608204,31,64.4842602532,green,incongruent,correct,f,1.23483070705
608204,32,66.5055675781,green,incongruent,correct,f,0.493609807883
608204,33,68.525830422,red,neutral,correct,d,0.409013682358
608204,34,70.5461824394,yellow,neutral,correct,k,0.788686326345
