# OrderedDict([('code', u'613451'), ('alder (opsjonalt)', u'28'), (u'kj\xf8nn', 'kvinne'), ('date', u'2018_mar_16_1415'), ('expName', 'StroopMW'), ('frameRate', 59.921178915403971)])
subj,trial,time,color,condition,correct,response,RT
613451,0,1.81403229268,green,congruent,correct,f,1.29651187349
613451,1,3.83668316302,blue,incongruent,correct,j,0.826182900833
613451,2,5.85683419442,yellow,congruent,correct,k,0.37380890717
613451,3,7.87677573258,yellow,congruent,correct,k,0.466110947789
613451,4,9.89876569653,red,incongruent,correct,d,0.5878854025
613451,5,11.9284608305,yellow,neutral,correct,k,0.638179994377
613451,6,13.9497160748,yellow,incongruent,correct,k,0.521212790954
613451,7,15.9720751053,red,incongruent,correct,d,0.562487226671
613451,8,17.9940040559,green,congruent,correct,f,0.55651773588
613451,9,20.0138316741,yellow,congruent,correct,k,0.456708071804
613451,10,22.0357776914,blue,congruent,correct,j,0.467056014058
613451,11,24.0560567228,blue,neutral,correct,j,0.894520791669
613451,12,26.0777036468,blue,congruent,correct,j,0.536850544282
613451,13,28.0992042243,green,incongruent,correct,f,0.979335262156
613451,14,30.1196650156,green,neutral,correct,f,0.462846522518
613451,15,32.1403737001,red,congruent,correct,d,0.570192396721
613451,16,34.1615401977,red,congruent,correct,d,0.421006327037
613451,17,36.1827732554,yellow,incongruent,correct,k,0.639754820368
613451,18,38.2032370333,yellow,neutral,correct,k,0.507460903485
613451,19,40.2234175047,yellow,neutral,correct,k,0.55127869812
613451,20,42.245414722,blue,congruent,correct,j,0.785153798337
613451,21,44.2660675131,green,neutral,correct,f,0.732582514094
613451,22,46.2863985978,blue,neutral,correct,j,1.27214409722
613451,23,48.3067796024,green,neutral,correct,f,0.643788951988
613451,24,50.3271682871,red,neutral,correct,d,0.415568462689
613451,25,52.3470688653,green,incongruent,incorrect,j,0.763485114243
613451,26,54.3672676833,green,neutral,correct,f,0.631330717304
613451,27,56.3890502873,blue,congruent,correct,j,0.737504538665
613451,28,58.4116004644,green,congruent,correct,f,0.682942855281
613451,29,60.4322063223,green,neutral,correct,f,0.67845261719
613451,30,62.4522139937,yellow,congruent,correct,k,0.546384406873
613451,31,64.4733429447,red,neutral,correct,d,0.461366843148
613451,32,66.4957181885,blue,incongruent,correct,j,0.61479696435
613451,33,68.5174572726,yellow,incongruent,correct,k,0.657051026326
613451,34,70.5381523037,blue,neutral,correct,j,0.732503154133
613451,35,72.558611815,yellow,neutral,correct,k,0.632249756905
613451,36,75.9997013335,green,probe,-1,3,-1
613451,37,78.3106093608,yellow,congruent,correct,k,1.51994217816
613451,38,80.3311243387,blue,neutral,correct,j,0.763421967604
613451,39,82.3509826769,yellow,congruent,correct,k,0.535686598108
613451,40,84.3736988272,yellow,incongruent,correct,k,1.2170951607
613451,41,86.3942466585,green,neutral,correct,f,0.588264709004
613451,42,88.4165954489,blue,incongruent,correct,j,1.01395028738
613451,43,90.4365753871,green,incongruent,correct,f,1.31396679937
613451,44,92.4573275915,green,neutral,correct,f,0.477304969681
613451,45,94.4801679018,green,congruent,correct,f,0.566627171575
613451,46,96.5009393063,red,neutral,correct,d,0.529556680725
613451,47,98.5208292178,yellow,congruent,correct,k,0.590060548238
613451,48,100.541298969,blue,incongruent,correct,j,0.873354720701
613451,49,102.563679759,green,congruent,correct,f,0.706850258415
613451,50,104.583543218,blue,incongruent,correct,j,1.13502116906
613451,51,106.604966142,green,incongruent,correct,f,1.09759739836
613451,52,108.625048907,yellow,congruent,correct,k,0.597480705073
613451,53,110.645329645,yellow,neutral,correct,k,0.417185955332
613451,54,112.667552995,green,congruent,correct,f,0.971303265571
613451,55,114.68773816,red,incongruent,correct,d,0.950781034335
613451,56,116.708745084,red,neutral,correct,d,0.481773447777
613451,57,118.730391582,blue,congruent,correct,j,0.652177641736
613451,58,120.75039328,yellow,congruent,correct,k,0.472495158399
613451,59,122.772016311,green,incongruent,correct,f,0.642513219194
613451,60,124.793155502,blue,neutral,correct,j,0.925418271821
613451,61,126.813821093,yellow,neutral,correct,k,0.71269857591
613451,62,128.834925724,yellow,incongruent,correct,k,0.563865786084
613451,63,130.856714728,yellow,incongruent,correct,k,0.381827677091
613451,64,132.876945546,green,incongruent,correct,f,0.7615634084
613451,65,134.89731631,green,neutral,correct,f,0.629194398214
613451,66,136.919202594,blue,congruent,correct,j,0.623314080724
613451,67,140.096089132,red,probe,-1,2,-1
613451,68,142.407826173,red,neutral,correct,d,0.830687645575
613451,69,144.429373683,green,incongruent,correct,f,0.601359530083
613451,70,146.449246955,yellow,congruent,correct,k,0.421235873604
613451,71,148.4695422,yellow,congruent,correct,k,0.497184641201
613451,72,150.491277017,yellow,incongruent,correct,k,0.875345119857
613451,73,152.511704102,red,neutral,correct,d,0.662770917217
613451,74,154.533377479,blue,congruent,correct,j,0.913460516924
613451,75,156.553244351,yellow,congruent,correct,k,0.573272928734
613451,76,158.575870048,green,congruent,correct,f,0.790868569224
613451,77,160.596210092,red,neutral,correct,d,0.434276081374
613451,78,162.618938616,green,congruent,correct,f,0.923587019272
613451,79,164.639617434,red,neutral,correct,d,0.583257351143
613451,80,166.660394385,red,neutral,correct,d,0.434141681428
613451,81,168.680339763,yellow,congruent,correct,k,0.606401874604
613451,82,170.700891861,yellow,neutral,correct,k,0.489627951094
613451,83,172.723992438,green,congruent,correct,f,0.658805478903
613451,84,174.745393175,red,congruent,correct,d,0.573092022154
613451,85,176.768148579,red,incongruent,correct,d,0.710355750249
613451,86,178.790565209,yellow,incongruent,correct,k,0.608566780342
613451,87,180.810691494,blue,incongruent,incorrect,f,1.45187266053
613451,88,182.830755912,yellow,congruent,incorrect,j,1.04773629963
613451,89,184.852079423,green,neutral,correct,f,0.754415464784
613451,90,186.875230347,green,congruent,correct,f,0.731303794644
613451,91,188.897890604,blue,incongruent,correct,j,1.02892286766
613451,92,190.919364728,green,incongruent,correct,f,0.991141123777
613451,93,192.939975279,red,neutral,correct,d,1.09849041131
613451,94,194.960157884,yellow,congruent,correct,k,0.694365997064
613451,95,196.980561928,red,incongruent,correct,d,0.881955463694
613451,96,199.002587306,red,congruent,correct,d,0.475957983588
613451,97,201.023909963,red,congruent,correct,d,0.45495233922
613451,98,204.810345041,green,probe,-1,1,-1
613451,99,207.138385008,blue,incongruent,incorrect,f,1.09212070736
613451,100,209.160523025,blue,congruent,correct,j,0.350066623971
613451,101,211.183295922,green,congruent,correct,f,0.63135034396
613451,102,213.205737726,green,incongruent,correct,f,1.47280150494
613451,103,215.228306676,red,incongruent,correct,d,1.22627915679
613451,104,217.251510079,green,incongruent,correct,f,1.23512011302
613451,105,219.273274763,blue,congruent,correct,j,1.19722274252
613451,106,221.293063555,blue,neutral,correct,j,0.473502517969
613451,107,223.314411813,red,incongruent,correct,d,0.90005124265
613451,108,225.334578204,blue,neutral,correct,j,0.767951885668
613451,109,227.353865236,yellow,congruent,correct,k,0.652734441501
613451,110,229.376571999,blue,congruent,correct,j,0.629877491258
613451,111,231.397014444,green,incongruent,correct,f,0.769622284963
613451,112,233.427145204,blue,neutral,incorrect,k,0.723299958059
613451,113,235.447548822,red,neutral,correct,d,0.654917693901
613451,114,237.469953506,blue,congruent,correct,j,0.568694797352
613451,115,239.490804697,blue,neutral,correct,j,0.515982713179
613451,116,241.510890875,yellow,congruent,correct,k,0.847796971611
613451,117,243.5321922,yellow,neutral,correct,k,0.538260250345
613451,118,245.552532244,red,incongruent,incorrect,f,0.869943095495
613451,119,247.573875382,yellow,incongruent,correct,k,1.0405555027
613451,120,249.594858413,red,neutral,correct,d,1.24372768267
613451,121,251.616005284,red,congruent,correct,d,0.550470165137
613451,122,253.636791195,green,neutral,correct,f,0.417681315121
613451,123,255.657530173,red,neutral,correct,d,0.940951065197
613451,124,257.67932515,blue,congruent,correct,j,0.631410503927
613451,125,259.700736128,yellow,incongruent,correct,k,0.52978452063
613451,126,261.722463265,green,incongruent,correct,f,0.812015866875
613451,127,263.745103895,yellow,incongruent,correct,k,1.52541374916
613451,128,265.766138553,yellow,incongruent,correct,k,0.640327833455
613451,129,267.789198597,green,congruent,correct,f,0.537369370722
613451,130,269.808544508,red,neutral,correct,d,0.613935098059
613451,131,271.829568499,yellow,neutral,correct,k,0.640976793184
613451,132,273.850887744,red,neutral,correct,d,0.683921201526
613451,133,275.871715895,blue,neutral,correct,j,0.806738002459
613451,134,277.893049219,green,incongruent,correct,f,0.833489991048
613451,135,280.793109422,green,probe,-1,2,-1
613451,136,283.104611795,blue,incongruent,correct,j,1.06204157353
613451,137,285.126374346,blue,congruent,correct,j,0.448089835481
613451,138,287.147698284,blue,incongruent,correct,j,0.506775677102
613451,139,289.169443341,green,incongruent,correct,f,0.757165756942
613451,140,291.190493785,blue,neutral,correct,j,0.623962613776
