# OrderedDict([('code', u'799330'), ('alder (opsjonalt)', u'20'), (u'kj\xf8nn', 'kvinne'), ('date', u'2018_mar_16_1412'), ('expName', 'StroopMW'), ('frameRate', 59.879410953560217)])
subj,trial,time,color,condition,correct,response,RT
799330,0,1.81197584045,red,neutral,correct,d,0.994738351161
799330,1,3.83306894245,red,congruent,correct,d,0.509818871622
799330,2,5.85322209859,blue,neutral,correct,j,0.841365042033
799330,3,7.87337610805,red,neutral,correct,d,0.677189395465
799330,4,9.89350238421,blue,congruent,correct,j,0.689127091944
799330,5,11.9138219402,red,neutral,correct,d,0.556869071472
799330,6,13.9496555096,yellow,neutral,correct,k,0.680937232268
799330,7,15.9697600258,blue,neutral,correct,j,1.17281094587
799330,8,17.9901154218,blue,neutral,correct,j,0.592697947563
799330,9,20.0112477771,blue,incongruent,correct,j,0.523661206476
799330,10,22.0314086132,green,neutral,correct,f,0.423175318894
799330,11,24.0526002751,yellow,congruent,correct,k,0.690192477698
799330,12,26.0728967911,green,neutral,correct,f,0.509668258419
799330,13,28.0939024265,yellow,congruent,correct,k,0.616652273791
799330,14,30.1143521158,red,neutral,correct,d,0.660483276391
799330,15,32.135574071,yellow,incongruent,correct,k,0.655044561026
799330,16,34.1566616263,red,incongruent,correct,d,0.954216999067
799330,17,36.1775610218,green,incongruent,correct,f,0.75706602064
799330,18,38.1983938574,yellow,neutral,correct,k,0.560525601686
799330,19,40.2185171469,red,neutral,correct,d,0.892025692141
799330,20,42.2385999031,blue,neutral,correct,j,0.583945315033
799330,21,44.2592023388,blue,neutral,correct,j,0.563359092601
799330,22,46.280521574,green,incongruent,correct,f,1.05404112722
799330,23,52.330108305,green,probe,-1,2,-1
799330,24,54.6415964658,blue,congruent,correct,j,1.44498351362
799330,25,56.6618059419,blue,neutral,correct,j,0.576985534302
799330,26,58.682768484,blue,incongruent,correct,j,0.620020804243
799330,27,60.7030568934,red,neutral,correct,d,0.59983906147
799330,28,62.723426796,green,neutral,correct,f,0.531112933444
799330,29,64.7442464049,red,congruent,correct,d,0.622307308964
799330,30,66.7649149739,yellow,neutral,correct,k,0.601647699928
799330,31,68.7854359164,green,neutral,correct,f,0.773094166958
799330,32,70.8154881575,green,incongruent,correct,f,0.471295171163
799330,33,72.8362168864,yellow,neutral,correct,k,0.802639528411
799330,34,74.8562450293,green,incongruent,correct,f,0.622264642334
799330,35,76.8762369056,blue,congruent,correct,j,0.746293976496
799330,36,78.9000832853,red,incongruent,correct,d,0.594628612576
799330,37,80.9232683321,green,congruent,correct,f,0.699247616642
799330,38,82.9578748093,yellow,congruent,correct,k,0.648664193141
799330,39,84.9810910028,green,congruent,correct,f,0.657703545425
799330,40,87.0015782387,green,neutral,correct,f,0.57294159109
799330,41,89.0219963546,green,neutral,correct,f,0.552543528502
799330,42,91.0458111609,yellow,incongruent,correct,k,0.560735948173
799330,43,93.0694169008,red,incongruent,correct,d,0.681127098767
799330,44,95.9443469275,red,probe,-1,3,-1
799330,45,98.256651301,yellow,incongruent,correct,k,1.04588156085
799330,46,100.276549737,red,incongruent,correct,d,0.465973789032
799330,47,102.298079746,green,incongruent,correct,f,0.700744788694
